"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"1/22/2021 11 a.m. CST",2790,3398,79,15,19770,9594,5132
ERCO,"1/22/2021 12 p.m. CST",2074,3305,86,10,20068,10116,5132
ERCO,"1/22/2021 1 p.m. CST",1401,3253,46,12,20563,10277,5131
ERCO,"1/22/2021 2 p.m. CST",1016,3311,46,12,20799,10381,5130
ERCO,"1/22/2021 3 p.m. CST",969,3505,47,9,20462,10457,5129
ERCO,"1/22/2021 4 p.m. CST",985,3539,71,17,20414,10560,5129
ERCO,"1/22/2021 5 p.m. CST",1096,3135,71,23,20462,10760,5128
ERCO,"1/22/2021 6 p.m. CST",1562,1042,72,32,22041,10985,5129
ERCO,"1/22/2021 7 p.m. CST",2554,8,71,44,23011,10980,5130
ERCO,"1/22/2021 8 p.m. CST",3632,0,114,18,21099,11253,5128
ERCO,"1/22/2021 9 p.m. CST",4142,0,99,16,19776,11054,5125
ERCO,"1/22/2021 10 p.m. CST",4076,0,94,18,19126,10693,5125
ERCO,"1/22/2021 11 p.m. CST",4183,0,65,19,17026,11256,5125
ERCO,"1/23/2021 12 a.m. CST",3901,0,47,17,15768,11165,5125
ERCO,"1/23/2021 1 a.m. CST",3653,0,47,18,15744,9973,5124
ERCO,"1/23/2021 2 a.m. CST",3649,0,47,18,15409,9396,5122
ERCO,"1/23/2021 3 a.m. CST",3705,0,46,17,15138,9056,5121
ERCO,"1/23/2021 4 a.m. CST",3754,0,46,17,14916,9054,5121
ERCO,"1/23/2021 5 a.m. CST",3818,0,47,17,14988,9138,5121
ERCO,"1/23/2021 6 a.m. CST",4241,0,46,18,15365,9130,5121
ERCO,"1/23/2021 7 a.m. CST",4780,0,47,18,16040,9361,5122
ERCO,"1/23/2021 8 a.m. CST",4921,1,47,20,16649,9789,5123
ERCO,"1/23/2021 9 a.m. CST",4997,164,46,26,17089,10611,5123
ERCO,"1/23/2021 10 a.m. CST",5558,683,47,23,16875,11079,5124
ERCO,"1/23/2021 11 a.m. CST",5829,1379,79,22,16594,11000,5124
ERCO,"1/23/2021 12 p.m. CST",6264,2209,87,23,15686,10803,5124
ERCO,"1/23/2021 1 p.m. CST",6570,2762,47,21,14439,11003,5124
ERCO,"1/23/2021 2 p.m. CST",6995,2800,47,22,13676,10678,5123
ERCO,"1/23/2021 3 p.m. CST",7357,2742,46,21,13435,10112,5123
ERCO,"1/23/2021 4 p.m. CST",7314,2612,68,28,13320,10178,5122
ERCO,"1/23/2021 5 p.m. CST",7316,2023,71,26,13665,10559,5123
ERCO,"1/23/2021 6 p.m. CST",7780,558,71,24,14666,11093,5123
ERCO,"1/23/2021 7 p.m. CST",9279,5,71,33,14288,11322,5124
ERCO,"1/23/2021 8 p.m. CST",10871,0,100,23,12489,11220,5124
ERCO,"1/23/2021 9 p.m. CST",12568,0,91,18,10895,10534,5124
ERCO,"1/23/2021 10 p.m. CST",13701,0,50,22,9260,10149,5124
ERCO,"1/23/2021 11 p.m. CST",13985,0,47,24,7776,9855,5124
ERCO,"1/24/2021 12 a.m. CST",14303,0,47,21,6847,8993,5125
ERCO,"1/24/2021 1 a.m. CST",13843,0,48,23,6903,8186,5125
ERCO,"1/24/2021 2 a.m. CST",12774,0,48,20,6840,8242,5126
ERCO,"1/24/2021 3 a.m. CST",12044,0,48,17,6884,8191,5125
ERCO,"1/24/2021 4 a.m. CST",11383,0,48,21,7148,8073,5125
ERCO,"1/24/2021 5 a.m. CST",10509,0,48,19,7587,8748,5126
ERCO,"1/24/2021 6 a.m. CST",10150,0,48,21,8528,8522,5126
ERCO,"1/24/2021 7 a.m. CST",9613,0,48,21,9544,8873,5127
ERCO,"1/24/2021 8 a.m. CST",8453,1,48,23,10528,10088,5127
ERCO,"1/24/2021 9 a.m. CST",7649,230,48,28,11590,10790,5127
ERCO,"1/24/2021 10 a.m. CST",7316,903,48,25,12756,10736,5127
ERCO,"1/24/2021 11 a.m. CST",7997,1668,80,23,12476,10410,5126
ERCO,"1/24/2021 12 p.m. CST",9496,2422,56,23,12123,9300,5126
ERCO,"1/24/2021 1 p.m. CST",10252,2563,48,23,12272,8776,5125
ERCO,"1/24/2021 2 p.m. CST",10360,2314,48,22,12432,8883,5126
ERCO,"1/24/2021 3 p.m. CST",10541,2590,48,23,12248,8594,5126
ERCO,"1/24/2021 4 p.m. CST",11304,2368,73,23,11993,8251,5126
ERCO,"1/24/2021 5 p.m. CST",11933,1511,73,25,12198,8402,5126
ERCO,"1/24/2021 6 p.m. CST",12185,315,72,22,12701,9516,5126
ERCO,"1/24/2021 7 p.m. CST",13898,2,72,22,12593,9460,5126
ERCO,"1/24/2021 8 p.m. CST",15024,0,100,33,11654,9325,5127
ERCO,"1/24/2021 9 p.m. CST",15040,0,91,29,10627,9613,5126
ERCO,"1/24/2021 10 p.m. CST",13578,0,52,25,10380,10097,5126
ERCO,"1/24/2021 11 p.m. CST",13152,0,49,21,8430,10584,5126
ERCO,"1/25/2021 12 a.m. CST",13740,0,49,15,6730,9656,5127
ERCO,"1/25/2021 1 a.m. CST",15774,0,49,14,5618,6852,5128
ERCO,"1/25/2021 2 a.m. CST",16040,0,49,21,5249,5982,5127
ERCO,"1/25/2021 3 a.m. CST",14738,0,49,17,5416,6580,5127
ERCO,"1/25/2021 4 a.m. CST",15276,0,49,14,5320,6145,5127
ERCO,"1/25/2021 5 a.m. CST",15951,0,49,16,5410,5989,5126
ERCO,"1/25/2021 6 a.m. CST",17066,0,50,17,6228,5875,5127
ERCO,"1/25/2021 7 a.m. CST",17616,0,49,16,7719,6705,5127
ERCO,"1/25/2021 8 a.m. CST",17744,10,50,16,8390,7866,5127
ERCO,"1/25/2021 9 a.m. CST",16782,1243,50,31,8577,8092,5126
ERCO,"1/25/2021 10 a.m. CST",15873,3074,50,26,8965,7313,5108
ERCO,"1/25/2021 11 a.m. CST",16359,3106,83,25,9204,7166,5098
ERCO,"1/25/2021 12 p.m. CST",17088,2502,91,24,9307,7247,5100
ERCO,"1/25/2021 1 p.m. CST",16847,2246,48,22,9573,7524,5101
ERCO,"1/25/2021 2 p.m. CST",16384,2304,49,22,9921,7321,5102
ERCO,"1/25/2021 3 p.m. CST",16443,1860,49,26,10004,7155,5103
ERCO,"1/25/2021 4 p.m. CST",16460,1770,71,24,9740,7012,5123
ERCO,"1/25/2021 5 p.m. CST",17313,1450,73,20,9699,6653,5123
ERCO,"1/25/2021 6 p.m. CST",15991,858,74,35,11615,6817,5124
ERCO,"1/25/2021 7 p.m. CST",13591,15,73,36,14024,8948,5123
ERCO,"1/25/2021 8 p.m. CST",13273,0,87,28,13684,9176,5123
ERCO,"1/25/2021 9 p.m. CST",12671,0,102,19,13603,9074,5124
ERCO,"1/25/2021 10 p.m. CST",11918,0,68,19,13025,9134,5124
ERCO,"1/25/2021 11 p.m. CST",10360,0,48,18,12522,9184,5124
ERCO,"1/26/2021 12 a.m. CST",8453,0,48,22,12347,9201,5125
ERCO,"1/26/2021 1 a.m. CST",7877,0,48,22,12300,8623,5125
ERCO,"1/26/2021 2 a.m. CST",8364,0,48,18,12037,7771,5125
ERCO,"1/26/2021 3 a.m. CST",9639,0,48,16,11563,6743,5124
ERCO,"1/26/2021 4 a.m. CST",10008,0,48,16,11731,6442,5125
ERCO,"1/26/2021 5 a.m. CST",8872,0,48,19,13122,7335,5125
ERCO,"1/26/2021 6 a.m. CST",8414,0,49,18,15613,7716,5124
ERCO,"1/26/2021 7 a.m. CST",9279,0,49,19,18066,8203,5125
ERCO,"1/26/2021 8 a.m. CST",9595,15,49,19,19322,9097,5119
ERCO,"1/26/2021 9 a.m. CST",7815,1281,48,28,19934,9185,5101
ERCO,"1/26/2021 10 a.m. CST",5888,3662,48,21,19154,8837,5101
ERCO,"1/26/2021 11 a.m. CST",5025,4283,83,20,18688,8655,5101
ERCO,"1/26/2021 12 p.m. CST",3907,4226,91,18,18811,9089,5101
ERCO,"1/26/2021 1 p.m. CST",3120,4096,47,28,19409,8854,5124
ERCO,"1/26/2021 2 p.m. CST",2615,4037,47,17,19521,8810,5124
ERCO,"1/26/2021 3 p.m. CST",2277,4124,47,20,19280,8897,5124
ERCO,"1/26/2021 4 p.m. CST",2487,4036,71,19,18900,8928,5124
ERCO,"1/26/2021 5 p.m. CST",4242,3371,72,16,18304,8562,5124
ERCO,"1/26/2021 6 p.m. CST",7235,1156,72,15,18196,8402,5124
ERCO,"1/26/2021 7 p.m. CST",9456,11,72,36,18845,8779,5124
ERCO,"1/26/2021 8 p.m. CST",10794,0,117,27,18093,8361,5123
ERCO,"1/26/2021 9 p.m. CST",8802,0,142,19,18674,8923,5122
ERCO,"1/26/2021 10 p.m. CST",7078,0,93,16,19165,8897,5123
ERCO,"1/26/2021 11 p.m. CST",5877,0,65,17,18270,8909,5123
ERCO,"1/27/2021 12 a.m. CST",5647,6,47,30,16401,8862,5122
ERCO,"1/27/2021 1 a.m. CST",6104,0,72,16,14754,8730,5122
ERCO,"1/27/2021 2 a.m. CST",6692,0,48,17,14181,8246,5123
ERCO,"1/27/2021 3 a.m. CST",8095,0,47,12,12993,7892,5123
ERCO,"1/27/2021 4 a.m. CST",11591,0,47,12,10871,6715,5123
ERCO,"1/27/2021 5 a.m. CST",14643,0,47,19,10131,5430,5122
ERCO,"1/27/2021 6 a.m. CST",15580,0,47,15,11955,5233,5121
ERCO,"1/27/2021 7 a.m. CST",16066,0,71,18,14527,5911,5122
ERCO,"1/27/2021 8 a.m. CST",16361,20,73,17,15251,7213,5122
